Time,ID,latitude,longitude,altitude,xVelocity,yVelocity,zVelocity,roll,pitch,yaw,roll_rate,pitch_rate,yaw_rate,attitude_z_up
0,0,55.7766,37.705,0.000201389,9.56E-12,1.25E-10,400,-1.5708,1.4947,0,0,0,1,1
1,0,55.7769,37.7042,63.9801,-0.9452,7.674,58.80.0000,-1.4401,1.6934,0,0,0,1,1
2,0,55.7773,37.7034,121.32,-6.916,20.01,75.570.0000,-1.2976,1.9035,0,0,0,1,1
3,0,55.7776,37.7027,178.689,-20.37,33.76,89.340.0000,-1.1552,2.1137,0,0,0,1,1
4,0,55.778,37.7018,242.758,-41.03,44.81,99.950.0000,-1.0246,2.3122,0,0,0,1,1
5,0,55.7783,37.7007,320.196,-65.86,50.49,108.40.0000,-0.9176,2.4876,0,0,0,1,1
6,0,55.7787,37.699,417.673,-90.43,50.98,117.20.0000,-0.846,2.6283,0,0,0,1,1
7,0,55.7791,37.6969,531.73,-112.5,49.34,127.40.0000,-0.8035,2.7284,0,0,0,1,1
8,0,55.7796,37.6944,656.627,-133,47.86,138.40.0000,-0.775,2.7961,0,0,0,1,1
9,0,55.7801,37.6916,794.879,-151.8,47.08,150.40.0000,-0.7578,2.8409,0,0,0,1,1
10,0,55.7806,37.6886,949.002,-169.5,46.77,163.50.0000,-0.7491,2.8724,0,0,0,1,1
11,0,55.781,37.6854,1121.51,-186.6,45.93,177.50.0000,-0.7459,2.9002,0,0,0,1,1
12,0,55.7814,37.6819,1314.92,-203.5,42.93,1920,-0.7454,2.9337,0,0,0,1,1
13,0,55.7816,37.6781,1523.72,-219.7,37.89,207.90.0000,-0.7506,2.9708,0,0,0,1,1
14,0,55.7819,37.6737,1745.37,-233.5,32.4,226.30.0000,-0.765,3.0037,0,0,0,1,1
15,0,55.7821,37.6692,1985.54,-244.5,26.73,247.40.0000,-0.7882,3.0327,0,0,0,1,1
16,0,55.7823,37.6647,2249.86,-252.4,21.18,271.20.0000,-0.8195,3.0579,0,0,0,1,1
17,0,55.7824,37.6606,2544.01,-256.5,15.97,297.60.0000,-0.8584,3.0794,0,0,0,1,1
18,0,55.7825,37.6572,2873.63,-256.5,11.33,326.40.0000,-0.9043,3.0974,0,0,0,1,1
19,0,55.7826,37.6544,3239.66,-248.3,7.568,359.70.0000,-0.9664,3.1111,0,0,0,1,1
20,0,55.7827,37.6522,3637.93,-229.9,4.897,397.10.0000,-1.046,3.1203,0,0,0,1,1
21,0,55.7827,37.6503,4065.69,-203.9,3.211,435.10.0000,-1.1326,3.1258,0,0,0,1,1
22,0,55.7827,37.6487,4520.22,-174.5,2.251,471.10.0000,-1.2161,3.1287,0,0,0,1,1
23,0,55.7827,37.6471,4998.8,-147.3,1.746,503.40.0000,-1.2862,3.1297,0,0,0,1,1
24,0,55.7827,37.6454,5498.7,-129.1,1.512,531.70.0000,-1.3326,3.1299,0,0,0,1,1
25,0,55.7827,37.6438,6023.14,-119.4,1.4,557.40.0000,-1.3598,3.1299,0,0,0,1,1
26,0,55.7827,37.6424,6574.26,-113.7,1.343,582.10.0000,-1.3779,3.1298,0,0,0,1,1
27,0,55.7827,37.6412,7149.4,-111.6,1.343,606.30.0000,-1.3888,3.1296,0,0,0,1,1
28,0,55.7827,37.6398,7745.91,-112.4,1.402,630.40.0000,-1.3943,3.1291,0,0,0,1,1
29,0,55.7827,37.6381,8361.1,-115.4,1.521,654.50.0000,-1.3963,3.1284,0,0,0,1,1
30,0,55.7828,37.6359,8992.36,-119.5,1.703,6790,-1.3965,3.1274,0,0,0,1,1
31,0,55.7828,37.6336,9645.01,-126,2.073,703.60.0000,-1.3936,3.1251,0,0,0,1,1
32,0,55.7829,37.6312,10321,-136.3,2.709,727.90.0000,-1.3856,3.1217,0,0,0,1,1
33,0,55.7829,37.6285,11015.6,-150.8,3.585,751.80.0000,-1.3728,3.1178,0,0,0,1,1
34,0,55.783,37.6253,11723.8,-169.6,4.65,775.20.0000,-1.3553,3.1142,0,0,0,1,1
35,0,55.7831,37.6212,12440.8,-193,5.802,798.10.0000,-1.3335,3.1115,0,0,0,1,1
36,0,55.7831,37.616,13161.8,-221.1,6.848,820.30.0000,-1.3074,3.1106,0,0,0,1,1
37,0,55.783,37.6103,13901.9,-253.8,7.07,841.20.0000,-1.2777,3.1137,0,0,0,1,1
38,0,55.783,37.6043,14664.1,-291.3,6.071,860.30.0000,-1.2443,3.1208,0,0,0,1,1
39,0,55.7829,37.5974,15434.4,-334.6,4.004,8770,-1.2063,3.1296,0,0,0,1,1
40,0,55.7828,37.5891,16198.4,-384.6,1.258,890.50.0000,-1.1631,3.1383,0,0,0,1,1
41,0,55.7827,37.5789,16941.9,-442.3,-1.419,899.40.0000,-1.1138,-3.1384,0,0,0,1,1
42,0,55.7827,37.5663,17650.9,-508.5,-2.748,902.40.0000,-1.0577,-3.1362,0,0,0,1,1
43,0,55.7831,37.5486,18323.3,-588.3,1.06,894.20.0000,-0.9889,3.1398,0,0,0,1,1
44,0,55.7841,37.5261,18969.2,-680,12.51,872.10.0000,-0.9085,3.1232,0,0,0,1,1
45,0,55.7854,37.5021,19596.7,-776.7,31.53,837.50.0000,-0.8227,3.101,0,0,0,1,1
46,0,55.787,37.4798,20213.9,-871.5,56.32,793.90.0000,-0.7378,3.0771,0,0,0,1,1
47,0,55.7886,37.4622,20828.8,-959.1,83.16,747.50.0000,-0.6603,3.0551,0,0,0,1,1
48,0,55.79,37.4525,21449.3,-1036,106.7,706.70.0000,-0.5963,3.0389,0,0,0,1,1
49,0,55.7914,37.4477,22075.3,-1106,127.9,672.90.0000,-0.5438,3.0264,0,0,0,1,1
50,0,55.7929,37.441,22701.1,-1172,149.2,6430,-0.4984,3.015,0,0,0,1,1
51,0,55.7944,37.4269,23323.4,-1235,169.3,616.80.0000,-0.4596,3.0053,0,0,0,1,1
52,0,55.7959,37.4001,23938.8,-1293,187.1,594.10.0000,-0.4268,2.9979,0,0,0,1,1
53,0,55.7976,37.3553,24544,-1346,201.2,574.80.0000,-0.3997,2.9932,0,0,0,1,1
54,0,55.7993,37.2857,25135.6,-1392,210.1,558.60.0000,-0.3777,2.9918,0,0,0,1,1
55,0,55.8012,37.069,25714,-1432,216,546.60.0000,-0.3609,2.9919,0,0,0,1,1
56,0,55.8031,36.6607,26282.2,-1467,220.9,539.50.0000,-0.3489,2.9921,0,0,0,1,1
57,0,55.805,36.1035,26842,-1497,225,536.60.0000,-0.3406,2.9925,0,0,0,1,1
58,0,55.807,35.4405,27395.6,-1525,228.4,5370,-0.3351,2.9929,0,0,0,1,1
59,0,55.8091,34.7146,27944.7,-1551,231.6,539.90.0000,-0.3315,2.9934,0,0,0,1,1
60,0,55.8112,33.9686,28491.3,-1577,234.5,543.90.0000,-0.3288,2.9939,0,0,0,1,1
61,0,55.8133,33.2454,29037.5,-1603,237.6,5480,-0.326,2.9945,0,0,0,1,1
62,0,55.8155,32.5881,29585.1,-1632,241,550.70.0000,-0.3222,2.995,0,0,0,1,1
63,0,55.8177,32.0269,30135.6,-1663,244.8,550.90.0000,-0.3166,2.9955,0,0,0,1,1
64,0,55.8199,31.4967,30685.9,-1696,248.7,550.30.0000,-0.3106,2.996,0,0,0,1,1
