Time,Latitude,Longitude,Altitude,Heading_Angle,Path_Angle,LOS_Angle_Lat,LOS_Angle_Lon,Command_Lat,Command_Lon
4838,46.452,-70.6038,0,0,0,37.9859,3.37571,0,0
4839,46.452,-70.6038,70000,37.9859,0,37.9713,-0.28116,0,0
4840,46.452,-70.6038,70000,37.9713,0,37.9566,-0.282104,-2.83933,0
4841,46.4703,-70.5832,70000,37.9087,0,37.956,-0.283721,19.942,0
4842,46.4884,-70.5625,70000,38.3482,0,37.9553,-0.285351,36.001,0
4843,46.5064,-70.5415,70000,39.1416,0,37.9531,-0.287002,39.2,0
4844,46.5243,-70.5201,70000,40.0054,0,37.9493,-0.288663,39.2,0
4845,46.5418,-70.4983,70000,40.8692,0,37.9434,-0.290346,39.2,0
4846,46.5592,-70.4761,70000,41.7331,0,37.9358,-0.292043,39.2,0
4847,46.5763,-70.4536,70000,42.5969,0,37.926,-0.293752,39.2,0
4848,46.5932,-70.4306,70000,43.4608,0,37.9138,-0.295484,39.2,0
4849,46.6099,-70.4073,70000,44.3246,0,37.9001,-0.297229,39.2,0
4850,46.6263,-70.3836,70000,45.1885,0,37.884,-0.298987,39.2,0
4851,46.6424,-70.3596,70000,46.0523,0,37.8658,-0.300765,39.2,0
4852,46.6583,-70.3352,70000,46.9162,0,37.8457,-0.302553,39.2,0
4853,46.674,-70.3104,70000,47.78,0,37.8231,-0.304364,39.2,0
4854,46.6894,-70.2853,70000,48.6438,0,37.7983,-0.306191,39.2,0
4855,46.7045,-70.2598,70000,49.5077,0,37.771,-0.308035,39.2,0
4856,46.7194,-70.2341,70000,50.3715,0,37.7416,-0.309889,39.2,0
4857,46.734,-70.2079,70000,51.2354,0,37.7096,-0.311766,39.2,0
4858,46.7483,-70.1815,70000,52.0992,0,37.6757,-0.313656,39.2,0
4859,46.7624,-70.1547,70000,52.9631,0,37.6387,-0.315561,39.2,0
4860,46.7761,-70.1277,70000,53.8269,0,37.5994,-0.317487,39.2,0
4861,46.7896,-70.1003,70000,54.6907,0,37.5577,-0.319428,39.2,0
4862,46.8028,-70.0726,70000,55.5546,0,37.5136,-0.321384,39.2,0
4863,46.8158,-70.0446,70000,56.4184,0,37.4666,-0.323353,39.2,0
4864,46.8284,-70.0163,70000,57.2823,0,37.4171,-0.325343,39.2,0
4865,46.8407,-69.9878,70000,58.1461,0,37.365,-0.327349,39.2,0
4866,46.8528,-69.959,70000,59.01,0,37.3102,-0.329371,39.2,0
4867,46.8645,-69.9299,70000,59.8738,0,37.2525,-0.331409,39.2,0
4868,46.876,-69.9005,70000,60.7377,0,37.1927,-0.33346,39.2,0
4869,46.8871,-69.8709,70000,61.6015,0,37.1295,-0.33553,39.2,0
4870,46.8979,-69.841,70000,62.4653,0,37.0634,-0.337616,39.2,0
4871,46.9085,-69.8109,70000,63.3292,0,36.9947,-0.339715,39.2,0
4872,46.9187,-69.7806,70000,64.193,0,36.9225,-0.341834,39.2,0
4873,46.9286,-69.75,70000,65.0569,0,36.8481,-0.343964,39.2,0
4874,46.9382,-69.7193,70000,65.9207,0,36.7705,-0.34611,39.2,0
4875,46.9474,-69.6883,70000,66.7846,0,36.6894,-0.348274,39.2,0
4876,46.9564,-69.6571,70000,67.6484,0,36.6058,-0.350449,39.2,0
4877,46.965,-69.6257,70000,68.5123,0,36.5188,-0.352642,39.2,0
4878,46.9733,-69.5941,70000,69.3761,0,36.4288,-0.354847,39.2,0
4879,46.9813,-69.5623,70000,70.2399,0,36.3356,-0.357068,39.2,0
4880,46.9889,-69.5303,70000,71.1038,0,36.2396,-0.359306,39.2,0
4881,46.9962,-69.4982,70000,71.9676,0,36.14,-0.361554,39.2,0
4882,47.0032,-69.4659,70000,72.8315,0,36.0371,-0.363809,39.2,0
4883,47.0099,-69.4335,70000,73.6953,0,35.9313,-0.366088,39.2,0
4884,47.0162,-69.4009,70000,74.5592,0,35.8221,-0.368381,39.2,0
4885,47.0222,-69.3681,70000,75.423,0,35.7093,-0.370675,39.2,0
4886,47.0278,-69.3353,70000,76.2869,0,35.5935,-0.372993,39.2,0
4887,47.0331,-69.3023,70000,77.1507,0,35.4742,-0.375316,39.2,0
4888,47.0381,-69.2692,70000,78.0145,0,35.3514,-0.377658,39.2,0
4889,47.0427,-69.236,70000,78.8784,0,35.2251,-0.380005,39.2,0
4890,47.047,-69.2027,70000,79.7422,0,35.0955,-0.382369,39.2,0
4891,47.051,-69.1693,70000,80.6061,0,34.9623,-0.384737,39.2,0
4892,47.0546,-69.1358,70000,81.4699,0,34.8255,-0.387115,39.2,0
4893,47.0578,-69.1022,70000,82.3338,0,34.6856,-0.389508,39.2,0
4894,47.0607,-69.0685,70000,83.1976,0,34.5419,-0.391904,39.2,0
4895,47.0633,-69.0348,70000,84.0614,0,34.3951,-0.394313,39.2,0
4896,47.0655,-69.0011,70000,84.9253,0,34.244,-0.396727,39.2,0
4897,47.0674,-68.9673,70000,85.7891,0,34.0898,-0.399153,39.2,0
4898,47.0689,-68.9334,70000,86.653,0,33.9322,-0.401585,39.2,0
4899,47.0701,-68.8996,70000,87.5168,0,33.7709,-0.404016,39.2,0
4900,47.0709,-68.8657,70000,88.3807,0,33.6059,-0.406462,39.2,0
4901,47.0714,-68.8317,70000,89.2445,0,33.4372,-0.408912,39.2,0
4902,47.0715,-68.7978,70000,90.1084,0,33.2651,-0.411359,39.2,0
4903,47.0713,-68.7639,70000,90.9722,0,33.0889,-0.413819,39.2,0
4904,47.0707,-68.73,70000,91.836,0,32.9094,-0.416274,39.2,0
4905,47.0698,-68.6961,70000,92.6999,0,32.727,-0.418742,39.2,0
4906,47.0685,-68.6622,70000,93.5637,0,32.54,-0.421202,39.2,0
4907,47.0669,-68.6284,70000,94.4276,0,32.3502,-0.423666,39.2,0
4908,47.065,-68.5946,70000,95.2914,0,32.1562,-0.426126,39.2,0
4909,47.0627,-68.5609,70000,96.1553,0,31.959,-0.428599,39.2,0
4910,47.06,-68.5272,70000,97.0191,0,31.7581,-0.431063,39.2,0
4911,47.057,-68.4935,70000,97.883,0,31.5539,-0.433523,39.2,0
4912,47.0537,-68.46,70000,98.7468,0,31.3452,-0.435979,39.2,0
4913,47.05,-68.4265,70000,99.6106,0,31.1341,-0.438431,39.2,0
4914,47.046,-68.3931,70000,100.474,0,30.9196,-0.440887,39.2,0
4915,47.0416,-68.3598,70000,101.338,0,30.7009,-0.443333,39.2,0
4916,47.0369,-68.3267,70000,102.202,0,30.4792,-0.445763,39.2,0
4917,47.0318,-68.2936,70000,103.066,0,30.2539,-0.448193,39.2,0
