Time,Latitude,Longitude,Heading_Angle,Normal_Acceleration_Command,LOS_Distance_Rate,LOS_Angle,LOS_Angle_Rate,Leading_Angle,Leading_Angle_Target,Target_Overload,Heading_Angle_Target
737,44.5904,-63.5889,0,0,1.02683e+06,38.7015,-0.127093,-38.7015,211.424,-351.881,250.126
738,44.5904,-63.5889,38.7015,0,1.02186e+06,38.5731,-0.128406,0.128406,211.485,-11.7725,250.058
739,44.5904,-63.5889,38.5731,-35.4096,1.01689e+06,38.4434,-0.129733,0.129733,211.561,-298.671,250.004
740,44.6214,-63.5544,38.112,-27.602,1.00753e+06,38.3365,-0.106931,-0.224431,211.604,-352.845,249.941
741,44.6526,-63.5203,37.7526,-27.3297,998179,38.2294,-0.107006,-0.476852,211.644,-12.9116,249.873
742,44.6839,-63.4864,37.3967,-28.0734,988847,38.121,-0.108478,-0.724255,211.688,-353.529,249.809
743,44.7154,-63.4527,37.0311,-28.9582,979523,38.0122,-0.108761,-0.98106,211.742,-300.055,249.755
744,44.7471,-63.4194,36.6541,-28.12,970197,37.9026,-0.109594,-1.24855,211.784,-14.0537,249.687
745,44.7788,-63.3863,36.2879,-28.7783,960897,37.7918,-0.110776,-1.50395,211.83,-354.497,249.622
746,44.8108,-63.3535,35.9131,-29.6599,951605,37.6808,-0.111049,-1.76764,211.887,-301.089,249.567
747,44.8429,-63.3209,35.5269,-28.8277,942312,37.5689,-0.111898,-2.04197,211.93,-15.1989,249.499
748,44.8751,-63.2887,35.1515,-30.289,933044,37.4558,-0.11309,-2.30427,211.988,-301.768,249.444
749,44.9075,-63.2567,34.7571,-29.6683,923781,37.3422,-0.113649,-2.58504,212.037,-355.75,249.379
750,44.9401,-63.2251,34.3708,-30.683,914534,37.2278,-0.114355,-2.85701,212.096,-302.429,249.324
751,44.9728,-63.1937,33.9712,-30.1613,905288,37.1126,-0.115228,-3.14133,212.146,-356.369,249.259
752,45.0056,-63.1626,33.5785,-31.3266,896067,36.9961,-0.116423,-3.41766,212.207,-303.091,249.203
753,45.0386,-63.1318,33.1706,-30.5594,886843,36.8797,-0.11649,-3.7091,212.258,-356.989,249.138
754,45.0718,-63.1014,32.7726,-31.7242,877644,36.762,-0.117682,-3.98936,212.32,-303.754,249.082
755,45.1051,-63.0713,32.3595,-31.1097,868451,36.6437,-0.118236,-4.28423,212.372,-357.609,249.016
756,45.1386,-63.0414,31.9544,-32.2308,859271,36.5245,-0.119285,-4.57004,212.436,-304.419,248.96
757,45.1722,-63.012,31.5347,-31.774,850105,36.4041,-0.120342,-4.8694,212.49,-358.23,248.894
