Time,Latitude,Longitude,Altitude,Heading_Angle,Path_Angle,LOS_Angle_Lat,LOS_Angle_Lon,Command_Lat,Command_Lon
89,50,-75,0,0,0,126.144,-0.355971,0,0
90,50,-75,20000,306.144,0.355971,126.144,0.356184,0,0
91,50,-75,20000,306.144,-0.356184,126.145,0.356399,0,0
92,50,-75,20000,306.145,-0.356399,126.146,0.356612,0,0
93,50,-75,20000,306.146,-0.356612,126.146,0.356826,0,0
94,50,-75,20000,306.146,-0.356826,126.147,0.357041,0,0
95,50,-75,20000,306.147,-0.357041,126.147,0.357255,0,0
96,50,-75,20000,306.147,-0.357255,126.148,0.35747,0,0
97,50,-75,20000,306.148,-0.35747,126.148,0.357685,0,0
98,50,-75,20000,306.148,-0.357685,126.149,0.357901,0,0
99,50,-75,20000,306.149,-0.357901,126.149,0.358116,0.0677736,-0.0180697
100,50.0063,-75.0135,19992.5,306.152,-0.358763,126.161,0.358323,1.47984,-0.0172773
101,50.0127,-75.027,19985,306.223,-0.359588,126.173,0.358528,1.45157,-0.017193
102,50.019,-75.0405,19977.4,306.292,-0.360409,126.184,0.358734,1.47107,-0.0172826
103,50.0254,-75.054,19969.9,306.362,-0.361234,126.196,0.35894,1.46517,-0.0172877
104,50.0318,-75.0674,19962.3,306.432,-0.36206,126.207,0.359146,1.4337,-0.0172074
105,50.0382,-75.0809,19954.7,306.501,-0.362881,126.219,0.359352,1.45329,-0.0172974
106,50.0446,-75.0943,19947.1,306.57,-0.363707,126.231,0.359559,1.44739,-0.0173023
107,50.051,-75.1078,19939.5,306.639,-0.364533,126.242,0.359764,1.41585,-0.0172213
108,50.0574,-75.1212,19931.8,306.707,-0.365356,126.253,0.359971,1.43552,-0.0173117
109,50.0638,-75.1346,19924.2,306.775,-0.366182,126.264,0.360177,1.40399,-0.0172304
110,50.0703,-75.148,19916.5,306.842,-0.367005,126.276,0.360382,1.39804,-0.0172348
111,50.0767,-75.1614,19908.8,306.909,-0.367828,126.287,0.360589,1.41786,-0.0173256
112,50.0832,-75.1748,19901.1,306.977,-0.368655,126.298,0.360797,1.34597,-0.0173704
113,50.0896,-75.1881,19893.4,307.041,-0.369484,126.309,0.361002,1.38036,-0.0172478
114,50.0961,-75.2015,19885.6,307.107,-0.370308,126.319,0.361208,1.37457,-0.0172518
115,50.1026,-75.2149,19877.8,307.173,-0.371132,126.331,0.361415,1.3945,-0.0173431
116,50.1091,-75.2282,19870.1,307.239,-0.37196,126.341,0.361621,1.36279,-0.0172603
117,50.1156,-75.2415,19862.3,307.304,-0.372784,126.352,0.361828,1.35687,-0.0172643
118,50.1221,-75.2549,19854.4,307.369,-0.373608,126.363,0.362034,1.351,-0.0172684
119,50.1287,-75.2682,19846.6,307.434,-0.374433,126.373,0.362241,1.30449,-0.0174012
120,50.1352,-75.2815,19838.8,307.496,-0.375264,126.384,0.362448,1.33931,-0.0172764
121,50.1417,-75.2948,19830.9,307.56,-0.376088,126.394,0.362653,1.30758,-0.0171918
122,50.1483,-75.3081,19823,307.622,-0.376909,126.405,0.362859,1.32772,-0.0172838
123,50.1549,-75.3214,19815.1,307.686,-0.377735,126.415,0.363065,1.32193,-0.0172878
124,50.1614,-75.3346,19807.2,307.749,-0.37856,126.426,0.363272,1.31607,-0.0172916
125,50.168,-75.3479,19799.3,307.812,-0.379386,126.436,0.363479,1.24318,-0.0173369
126,50.1746,-75.3611,19791.3,307.871,-0.380213,126.446,0.363685,1.30445,-0.0172989
127,50.1812,-75.3744,19783.3,307.933,-0.381039,126.457,0.363892,1.29876,-0.0173024
128,50.1878,-75.3876,19775.3,307.995,-0.381865,126.467,0.364097,1.26675,-0.0172166
129,50.1944,-75.4008,19767.3,308.056,-0.382687,126.477,0.364306,1.24593,-0.0174411
130,50.2011,-75.414,19759.3,308.115,-0.38352,126.487,0.364511,1.25515,-0.0172233
131,50.2077,-75.4272,19751.3,308.175,-0.384343,126.497,0.364718,1.27566,-0.0173163
132,50.2143,-75.4404,19743.2,308.236,-0.385169,126.507,0.364923,1.24361,-0.0172296
133,50.221,-75.4536,19735.1,308.295,-0.385992,126.516,0.365132,1.2227,-0.0174559
