Time,ID,latitude,longitude,altitude,xVelocity,yVelocity,zVelocity,,
0,1,27.69736,77.45403,200,-1.745,3.022,99.94,100.0009055,5383.526446
1,1,27.69739,77.45401,306.05,-2.163,3.706,112.2,112.2820244,
2,1,27.69742,77.45399,424.439,-2.626,4.456,124.6,124.7073046,
3,1,27.69747,77.45396,555.345,-3.134,5.272,137.2,137.3370159,
4,1,27.69752,77.45393,698.945,-3.688,6.155,150,150.1715198,
5,1,27.69758,77.45389,855.419,-4.286,7.103,163,163.2109751,
6,1,27.69765,77.45384,1024.94,-4.929,8.117,176.1,176.3558639,
7,1,27.69773,77.45379,1207.7,-5.618,9.196,189.4,189.7063213,
8,1,27.69781,77.45372,1403.87,-6.352,10.34,202.9,203.2625728,
9,1,27.69791,77.45366,1613.61,-7.132,11.55,216.6,217.0249477,
10,1,27.69802,77.45358,1837.14,-7.957,12.82,230.5,230.9933251,
11,1,27.69814,77.4535,2074.63,-8.828,14.16,244.5,245.0687438,
12,1,27.69828,77.4534,2326.27,-9.744,15.57,258.8,259.4509789,
13,1,27.69842,77.4533,2592.23,-10.71,17.04,273.2,273.9403324,
14,1,27.69858,77.45318,2872.73,-11.72,18.57,287.8,288.6365245,
15,1,27.69876,77.45306,3167.96,-12.77,20.17,302.7,303.6399048,
16,1,27.69894,77.45292,3478.13,-13.87,21.83,317.7,318.7510248,
17,1,27.69915,77.45278,3803.4,-15.03,23.57,332.9,334.0716327,
18,1,27.69937,77.45262,4144.01,-16.22,25.36,348.4,349.6981241,
19,1,27.6996,77.45245,4500.23,-17.47,27.23,364.1,365.5345179,
20,1,27.69986,77.45227,4872.23,-18.76,29.16,380,381.5786199,
21,1,27.70013,77.45207,5260.28,-20.11,31.16,396.1,397.8323362,
22,1,27.70042,77.45186,5664.55,-21.5,33.22,412.5,414.3936153,
23,1,27.70072,77.45163,6085.33,-22.95,35.36,429.2,431.2651993,
24,1,27.70105,77.45139,6522.94,-24.45,37.57,446.1,448.3464257,
25,1,27.7014,77.45114,6977.61,-26,39.85,463.3,465.7369563,
26,1,27.70177,77.45087,7449.64,-27.6,42.2,480.8,483.4369038,
27,1,27.70216,77.45058,7939.25,-29.26,44.63,498.6,501.4478482,
28,1,27.70257,77.45027,8446.78,-30.97,47.13,516.7,519.7684752,
29,1,27.703,77.44995,8972.71,-32.74,49.72,535.2,538.5007205,
30,1,27.70346,77.44961,9517.26,-34.57,52.38,554,557.5434954,
31,1,27.70394,77.44925,10080.8,-36.46,55.12,573.2,576.9972149,
32,1,27.70445,77.44887,10663.7,-38.41,57.95,592.8,596.8629412,
33,1,27.70498,77.44847,11266.4,-40.43,60.87,612.8,617.1414601,
34,1,27.70554,77.44805,11889.4,-42.52,63.88,633.3,637.9322024,
35,1,27.70613,77.44761,12533.1,-44.67,66.98,654.2,659.1353194,
36,1,27.70674,77.44715,13198,-46.89,70.17,675.6,680.8508361,
37,1,27.70739,77.44666,13884.8,-49.19,73.47,697.6,703.1808139,
38,1,27.70806,77.44615,14594,-51.56,76.87,720.1,726.0244076,
39,1,27.70876,77.44561,15325.6,-54.01,80.38,743.2,749.4826646,
40,1,27.7095,77.44506,16080.6,-56.54,84,766.9,773.5556745,
41,1,27.71027,77.44447,16859.5,-59.16,87.73,791.2,798.2442599,
42,1,27.71107,77.44386,17663.2,-61.86,91.57,816.1,823.5477731,
43,1,27.71191,77.44322,18492.3,-64.64,95.53,841.6,849.467404,
44,1,27.71278,77.44255,19347,-67.52,99.61,867.9,876.2028946,
45,1,27.71369,77.44185,20227.9,-70.48,103.8,894.8,903.5534906,
46,1,27.71465,77.44112,21138.1,-73.55,108.1,922.4,931.6206162,
47,1,27.71563,77.44037,22070.1,-76.69,112.6,950.6,960.312697,
48,1,27.71667,77.43956,23049,-79.98,117.2,980.1,990.3174493,
49,1,27.7177,77.43877,24004.2,-83.21,121.8,1009,1019.725524,
50,1,27.71884,77.43789,25057.7,-86.76,126.8,1040,1051.287562,
51,1,27.71998,77.43701,26091.4,-86.78,126.6,1029,1040.384222,
52,1,27.72111,77.43613,27115.5,-86.81,126.5,1019,1030.484947,
