Time,Latitude,Longitude,Altitude,Heading_Angle,Path_Angle,LOS_Angle_Lat,LOS_Angle_Lon,Command_Lat,Command_Lon
4838,46.6939,-70.1864,0,0,0,37.8284,3.50616,0,0
4839,46.6939,-70.1864,70000,37.8284,0,37.812,-0.29208,0,0
4840,46.6939,-70.1864,70000,37.812,0,37.7955,-0.293089,39.2,0
4841,46.712,-70.1656,70000,38.6759,0,37.7922,-0.294824,39.2,0
4842,46.73,-70.1443,70000,39.5397,0,37.7872,-0.296574,39.2,0
4843,46.7477,-70.1226,70000,40.4036,0,37.7802,-0.298348,39.2,0
4844,46.7651,-70.1006,70000,41.2674,0,37.7712,-0.300132,39.2,0
4845,46.7824,-70.0781,70000,42.1313,0,37.7601,-0.301941,39.2,0
4846,46.7994,-70.0553,70000,42.9951,0,37.7472,-0.303763,39.2,0
4847,46.8162,-70.0321,70000,43.8589,0,37.7319,-0.305601,39.2,0
4848,46.8327,-70.0085,70000,44.7228,0,37.7139,-0.307463,39.2,0
4849,46.849,-69.9846,70000,45.5866,0,37.6944,-0.30934,39.2,0
4850,46.8651,-69.9603,70000,46.4505,0,37.6723,-0.31123,39.2,0
4851,46.8808,-69.9356,70000,47.3143,0,37.6479,-0.313144,39.2,0
4852,46.8964,-69.9106,70000,48.1782,0,37.6214,-0.315068,39.2,0
4853,46.9117,-69.8852,70000,49.042,0,37.5924,-0.317016,39.2,0
4854,46.9267,-69.8595,70000,49.9059,0,37.5608,-0.318983,39.2,0
4855,46.9414,-69.8335,70000,50.7697,0,37.5267,-0.320969,39.2,0
4856,46.9559,-69.8071,70000,51.6335,0,37.4902,-0.322966,39.2,0
4857,46.9701,-69.7804,70000,52.4974,0,37.4511,-0.324987,39.2,0
4858,46.984,-69.7534,70000,53.3612,0,37.4097,-0.327024,39.2,0
4859,46.9977,-69.7261,70000,54.2251,0,37.3651,-0.329077,39.2,0
4860,47.011,-69.6984,70000,55.0889,0,37.318,-0.331152,39.2,0
4861,47.0241,-69.6705,70000,55.9528,0,37.2683,-0.333245,39.2,0
4862,47.0369,-69.6423,70000,56.8166,0,37.216,-0.335355,39.2,0
4863,47.0494,-69.6137,70000,57.6805,0,37.1606,-0.337478,39.2,0
4864,47.0616,-69.585,70000,58.5443,0,37.1025,-0.339625,39.2,0
4865,47.0735,-69.5559,70000,59.4081,0,37.0417,-0.341788,39.2,0
4866,47.0851,-69.5266,70000,60.272,0,36.9778,-0.34397,39.2,0
4867,47.0964,-69.497,70000,61.1358,0,36.9109,-0.34617,39.2,0
4868,47.1074,-69.4671,70000,61.9997,0,36.8417,-0.348383,39.2,0
4869,47.1181,-69.437,70000,62.8635,0,36.7689,-0.350617,39.2,0
4870,47.1285,-69.4067,70000,63.7274,0,36.6928,-0.35287,39.2,0
4871,47.1386,-69.3761,70000,64.5912,0,36.6141,-0.355137,39.2,0
4872,47.1483,-69.3453,70000,65.455,0,36.5316,-0.357425,39.2,0
4873,47.1578,-69.3143,70000,66.3189,0,36.4466,-0.359725,39.2,0
4874,47.1669,-69.2831,70000,67.1827,0,36.3582,-0.362043,39.2,0
4875,47.1757,-69.2517,70000,68.0466,0,36.266,-0.364381,39.2,0
4876,47.1841,-69.2201,70000,68.9104,0,36.1712,-0.366731,39.2,0
4877,47.1923,-69.1883,70000,69.7743,0,36.0727,-0.3691,39.2,0
4878,47.2001,-69.1563,70000,70.6381,0,35.9709,-0.371483,39.2,0
4879,47.2076,-69.1241,70000,71.502,0,35.8657,-0.373882,39.2,0
4880,47.2148,-69.0918,70000,72.3658,0,35.7574,-0.376301,39.2,0
4881,47.2216,-69.0593,70000,73.2296,0,35.6454,-0.37873,39.2,0
4882,47.2281,-69.0266,70000,74.0935,0,35.5298,-0.381168,39.2,0
4883,47.2343,-68.9938,70000,74.9573,0,35.411,-0.383631,39.2,0
4884,47.2401,-68.9609,70000,75.8212,0,35.2885,-0.386109,39.2,0
4885,47.2456,-68.9279,70000,76.685,0,35.1622,-0.388589,39.2,0
4886,47.2507,-68.8947,70000,77.5489,0,35.0326,-0.391093,39.2,0
4887,47.2556,-68.8614,70000,78.4127,0,34.8993,-0.393604,39.2,0
4888,47.26,-68.828,70000,79.2766,0,34.7622,-0.396135,39.2,0
4889,47.2641,-68.7945,70000,80.1404,0,34.6213,-0.398671,39.2,0
4890,47.2679,-68.7609,70000,81.0042,0,34.4769,-0.401225,39.2,0
4891,47.2714,-68.7273,70000,81.8681,0,34.3286,-0.403783,39.2,0
4892,47.2745,-68.6935,70000,82.7319,0,34.1765,-0.406353,39.2,0
4893,47.2772,-68.6597,70000,83.5958,0,34.021,-0.408937,39.2,0
4894,47.2796,-68.6258,70000,84.4596,0,33.8614,-0.411525,39.2,0
4895,47.2817,-68.5919,70000,85.3235,0,33.6984,-0.414126,39.2,0
4896,47.2834,-68.558,70000,86.1873,0,33.5309,-0.416732,39.2,0
4897,47.2848,-68.524,70000,87.0511,0,33.36,-0.419351,39.2,0
4898,47.2858,-68.4899,70000,87.915,0,33.1855,-0.421975,39.2,0
4899,47.2864,-68.4559,70000,88.7788,0,33.007,-0.424598,39.2,0
4900,47.2868,-68.4218,70000,89.6427,0,32.8245,-0.427235,39.2,0
4901,47.2867,-68.3878,70000,90.5065,0,32.6381,-0.429877,39.2,0
4902,47.2863,-68.3537,70000,91.3704,0,32.448,-0.432514,39.2,0
4903,47.2856,-68.3197,70000,92.2342,0,32.2536,-0.435165,39.2,0
4904,47.2845,-68.2857,70000,93.0981,0,32.0556,-0.437809,39.2,0
4905,47.2831,-68.2517,70000,93.9619,0,31.8545,-0.440465,39.2,0
4906,47.2814,-68.2177,70000,94.8257,0,31.6485,-0.443112,39.2,0
4907,47.2792,-68.1838,70000,95.6896,0,31.4395,-0.445763,39.2,0
4908,47.2768,-68.15,70000,96.5534,0,31.226,-0.448407,39.2,0
4909,47.274,-68.1162,70000,97.4173,0,31.0091,-0.451064,39.2,0
4910,47.2708,-68.0824,70000,98.2811,0,30.7882,-0.45371,39.2,0
4911,47.2673,-68.0488,70000,99.145,0,30.5639,-0.45635,39.2,0
4912,47.2635,-68.0152,70000,100.009,0,30.3348,-0.458983,39.2,0
4913,47.2593,-67.9817,70000,100.873,0,30.1032,-0.461611,39.2,0
4914,47.2547,-67.9483,70000,101.736,0,29.8679,-0.464242,39.2,0
4915,47.2499,-67.9151,70000,102.6,0,29.6283,-0.466859,39.2,0
4916,47.2447,-67.8819,70000,103.464,0,29.3853,-0.469457,39.2,0
4917,47.2391,-67.8489,70000,104.328,0,29.1387,-0.472053,39.2,0
4918,47.2332,-67.816,70000,105.192,0,28.8889,-0.474646,39.2,0
4919,47.227,-67.7832,70000,106.056,0,28.6354,-0.477209,39.2,0
4920,47.2205,-67.7506,70000,106.92,0,28.3784,-0.479776,39.2,0
4921,47.2136,-67.7181,70000,107.783,0,28.1183,-0.482328,39.2,0
4922,47.2063,-67.6858,70000,108.647,0,27.8543,-0.484849,39.2,0
4923,47.1988,-67.6537,70000,109.511,0,27.5878,-0.487358,39.2,0
4924,47.1909,-67.6217,70000,110.375,0,27.3175,-0.48986,39.2,0
4925,47.1827,-67.59,70000,111.239,0,27.0444,-0.492333,39.2,0
4926,47.1742,-67.5584,70000,112.103,0,26.7681,-0.494786,39.2,0
4927,47.1653,-67.527,70000,112.966,0,26.4892,-0.497234,39.2,0
4928,47.1561,-67.4958,70000,113.83,0,26.2072,-0.499642,39.2,0
4929,47.1467,-67.4648,70000,114.694,0,25.9222,-0.502027,39.2,0
4930,47.1368,-67.4341,70000,115.558,0,25.6342,-0.504397,39.2,0
4931,47.1267,-67.4035,70000,116.422,0,25.344,-0.506729,39.2,0
4932,47.1163,-67.3733,70000,117.286,0,25.051,-0.509045,39.2,0
4933,47.1055,-67.3432,70000,118.15,0,24.7554,-0.511323,39.2,0
4934,47.0945,-67.3134,70000,119.013,0,24.4571,-0.513583,39.2,0
4935,47.0831,-67.2839,70000,119.877,0,24.1575,-0.515808,39.2,0
4936,47.0715,-67.2546,70000,120.741,0,23.855,-0.518004,39.2,0
4937,47.0595,-67.2256,70000,121.605,0,23.5502,-0.52016,39.2,0
4938,47.0473,-67.1968,70000,122.469,0,23.2438,-0.52229,39.2,0
4939,47.0347,-67.1683,70000,123.333,0,22.9354,-0.524385,39.2,0
4940,47.0219,-67.1402,70000,124.196,0,22.625,-0.526437,39.2,0
4941,47.0087,-67.1123,70000,125.06,0,22.3138,-0.528468,39.2,0
4942,46.9953,-67.0847,70000,125.924,0,21.9998,-0.530457,39.2,0
4943,46.9816,-67.0574,70000,126.788,0,21.6849,-0.532396,39.2,0
4944,46.9677,-67.0305,70000,127.652,0,21.3688,-0.534306,39.2,0
4945,46.9534,-67.0038,70000,128.516,0,21.052,-0.536184,39.2,0
4946,46.9389,-66.9775,70000,129.38,0,20.7329,-0.538007,39.2,0
4947,46.9241,-66.9515,70000,130.243,0,20.4137,-0.539805,39.2,0
4948,46.909,-66.9259,70000,131.107,0,20.0934,-0.541552,39.2,0
4949,46.8937,-66.9006,70000,131.971,0,19.7723,-0.543258,39.2,0
4950,46.8781,-66.8756,70000,132.835,0,19.4511,-0.54492,39.2,0
4951,46.8623,-66.851,70000,133.699,0,19.1285,-0.546541,39.2,0
4952,46.8462,-66.8267,70000,134.563,0,18.8061,-0.548126,39.2,0
4953,46.8299,-66.8029,70000,135.426,0,18.4833,-0.549658,39.2,0
4954,46.8133,-66.7793,70000,136.29,0,18.1612,-0.551153,39.2,0
4955,46.7965,-66.7562,70000,137.154,0,17.838,-0.552597,39.2,0
4956,46.7794,-66.7334,70000,138.018,0,17.5158,-0.554004,39.2,0
4957,46.7621,-66.7111,70000,138.882,0,17.1933,-0.555357,39.2,0
4958,46.7446,-66.6891,70000,139.746,0,16.8715,-0.556674,39.2,0
4959,46.7269,-66.6675,70000,140.609,0,16.5503,-0.557925,39.2,0
4960,46.7089,-66.6463,70000,141.473,0,16.2292,-0.559153,39.2,0
4961,46.6907,-66.6255,70000,142.337,0,15.9095,-0.560334,39.2,0
4962,46.6723,-66.6052,70000,143.201,0,15.5904,-0.56147,39.2,0
4963,46.6537,-66.5852,70000,144.065,0,15.2729,-0.562549,39.2,0
4964,46.6349,-66.5657,70000,144.929,0,14.9557,-0.563596,39.2,0
4965,46.6159,-66.5465,70000,145.793,0,14.6402,-0.564597,39.2,0
4966,46.5967,-66.5278,70000,146.656,0,14.3262,-0.565554,39.2,0
4967,46.5773,-66.5096,70000,147.52,0,14.0132,-0.566466,39.2,0
4968,46.5577,-66.4917,70000,148.384,0,13.7023,-0.567334,39.2,0
4969,46.538,-66.4744,70000,149.248,0,13.3926,-0.568161,39.2,0
4970,46.518,-66.4574,70000,150.112,0,13.0849,-0.568943,39.2,0
4971,46.4979,-66.4409,70000,150.976,0,12.7793,-0.569684,39.2,0
4972,46.4776,-66.4248,70000,151.839,0,12.4761,-0.570382,39.2,0
4973,46.4572,-66.4092,70000,152.703,0,12.1742,-0.57105,39.2,0
4974,46.4366,-66.3941,70000,153.567,0,11.875,-0.571667,39.2,0
4975,46.4158,-66.3794,70000,154.431,0,11.5777,-0.572243,39.2,0
4976,46.3949,-66.3652,70000,155.295,0,11.2832,-0.572793,39.2,0
4977,46.3738,-66.3514,70000,156.159,0,10.9907,-0.573293,39.2,0
4978,46.3526,-66.3381,70000,157.023,0,10.7013,-0.573755,39.2,0
4979,46.3313,-66.3253,70000,157.886,0,10.4143,-0.57419,39.2,0
4980,46.3098,-66.3129,70000,158.75,0,10.1299,-0.574579,39.2,0
4981,46.2882,-66.301,70000,159.614,0,9.84843,-0.574944,39.2,0
